partido,quantidade_doacoes,quantidade_doadores,total_receita,media_receita,recursos_de_outros_candidatos.comites,recursos_de_pessoas_fisicas,recursos_de_pessoas_juridicas,recursos_proprios,recursos_de_partido_politico,quantidade_despesas,quantidade_fornecedores,total_despesa,media_despesa,sexo,regiao
PT,17,16,158120.8,9301.22,2250.0,34150.0,62220.8,59500.0,0.0,123,108,146011.7,1187.09,FEMININO,NNE
PT,48,48,119820.0,2496.25,0.0,50878.0,0.0,68942.0,0.0,133,120,116416.64,875.31,MASCULINO,NNE
PT,68,65,111218.2,1635.56,9575.0,59143.2,26000.0,16500.0,0.0,68,67,110818.2,1629.68,MASCULINO,NNE
PT,61,54,240740.7,3946.57,6295.1,42948.0,176497.6,15000.0,0.0,181,153,184442.87,1019.02,MASCULINO,SSE
PT,67,64,207876.7,3102.64,1628.25,16098.45,190150.0,0.0,0.0,330,252,170327.15,516.14,MASCULINO,SSE
PT,269,249,606332.67,2254.02,1154.0,329116.26,206800.24,69262.17,0.0,392,298,506442.84,1291.95,MASCULINO,SSE
PRONA,2,2,6047.07,3023.53,0.0,0.0,0.0,6047.07,0.0,2,2,6004.8,3002.4,MASCULINO,SSE
PT,179,146,433624.62,2422.48,50.0,95763.0,301318.0,36493.62,0.0,495,400,354609.66,716.38,MASCULINO,SSE
PT,92,83,189897.5,2064.1,2167.5,117730.0,40000.0,30000.0,0.0,153,144,168159.62,1099.08,MASCULINO,SSE
PPS,48,45,556859.8,11601.25,0.0,31406.43,505151.89,20301.48,0.0,275,227,427947.05,1556.17,MASCULINO,SSE
PL,28,25,129578.53,4627.8,446.43,42353.2,81772.0,5006.9,0.0,126,96,110661.93,878.27,MASCULINO,SSE
PPS,62,62,1124345.13,18134.6,2907.0,55530.0,1012848.44,53059.69,0.0,891,757,758465.08,851.25,MASCULINO,SSE
PPS,26,23,277104.99,10657.88,2907.0,13240.0,4428.0,256529.99,0.0,218,196,270091.42,1238.95,MASCULINO,SSE
PFL,81,80,1161954.47,14345.12,247325.44,347504.0,538820.0,28305.03,0.0,816,787,1062452.42,1302.03,MASCULINO,SSE
PPS,27,24,2620943.0,97071.96,0.0,1381000.0,669943.0,570000.0,0.0,5545,3078,2213874.07,399.26,MASCULINO,SSE
PT,17,16,93759.27,5515.25,0.0,36759.27,0.0,57000.0,0.0,53,43,70439.19,1329.04,MASCULINO,SSE
PDT,71,68,964035.67,13577.97,16100.0,70000.0,507935.67,370000.0,0.0,792,781,982535.47,1240.58,MASCULINO,SSE
PC do B,35,30,40759.0,1164.54,0.0,24140.0,16400.0,0.0,219.0,27,27,39948.57,1479.58,MASCULINO,NNE
PPS,34,31,645587.49,18987.87,0.0,22500.0,584153.71,0.0,38933.78,693,653,592292.18,854.68,MASCULINO,SSE
PP,22,21,383050.0,17411.36,0.0,15500.0,367500.0,50.0,0.0,471,383,348029.33,738.92,MASCULINO,NNE
PT,99,94,203197.83,2052.5,1500.0,94097.83,17000.0,90600.0,0.0,190,136,169580.34,892.53,FEMININO,SSE
PT,62,57,175141.39,2824.86,73419.07,33300.0,56012.32,9910.0,2500.0,217,144,153046.59,705.28,MASCULINO,NNE
PT,50,43,233248.99,4664.98,60975.96,23250.0,76710.0,69813.03,2500.0,189,163,211877.76,1121.05,MASCULINO,NNE
PT,91,77,254157.96,2792.94,25000.0,99050.0,88507.96,39100.0,2500.0,149,132,160305.73,1075.88,MASCULINO,NNE
PSB,65,61,217786.5,3350.56,0.0,48400.0,94886.5,14500.0,60000.0,64,62,250614.76,3915.86,MASCULINO,NNE
PSB,25,24,180789.86,7231.59,0.0,34550.0,45339.86,70900.0,30000.0,81,80,174987.5,2160.34,FEMININO,NNE
PMN,17,14,61220.0,3601.18,1000.0,2800.0,45420.0,12000.0,0.0,28,21,54019.99,1929.29,MASCULINO,NNE
PT,89,89,289226.0,3249.73,0.0,54226.0,215000.0,20000.0,0.0,143,135,292235.98,2043.61,FEMININO,NNE
PPS,80,79,1161967.46,14524.59,3378.5,69340.0,1089248.96,0.0,0.0,847,748,1124368.2,1327.47,MASCULINO,SSE
PL,102,101,501273.34,4914.44,353273.34,50000.0,98000.0,0.0,0.0,48,46,534238.99,11129.98,MASCULINO,NNE
PC do B,49,48,174398.05,3559.14,0.0,45830.0,128552.4,15.65,0.0,241,230,169589.55,703.69,FEMININO,NNE
PMN,30,29,612700.0,20423.33,50000.0,159950.0,322250.0,80500.0,0.0,215,191,577862.25,2687.73,MASCULINO,NNE
PT,80,74,435950.46,5449.38,1428.56,70542.5,276979.4,87000.0,0.0,274,238,399194.48,1456.91,FEMININO,SSE
PT,221,215,48998.06,221.71,5200.0,36297.36,200.0,7300.7,0.0,54,53,61050.82,1130.57,MASCULINO,SSE
PSC,40,39,232409.62,5810.24,1500.0,44500.0,173347.14,13062.48,0.0,182,135,202592.16,1113.14,MASCULINO,SSE
PL,41,39,476291.17,11616.86,6075.85,44315.32,413000.0,12900.0,0.0,467,400,425121.26,910.32,MASCULINO,SSE
PTB,20,19,220800.0,11040.0,0.0,75800.0,135000.0,0.0,10000.0,451,380,205899.68,456.54,MASCULINO,NNE
PP,15,15,560970.7,37398.05,4981.0,0.0,549999.7,5990.0,0.0,171,169,460391.6,2692.35,MASCULINO,NNE
PSDB,83,83,228700.0,2755.42,0.0,109200.0,31000.0,83500.0,5000.0,167,92,122464.23,733.32,MASCULINO,NNE
PFL,25,24,261091.54,10443.66,6000.0,99051.54,139000.0,17040.0,0.0,118,92,230719.97,1955.25,MASCULINO,NNE
PSDB,21,21,448899.0,21376.14,0.0,52900.0,112999.0,33500.0,249500.0,117,108,386171.49,3300.61,MASCULINO,NNE
PMDB,29,28,880385.53,30358.12,56980.0,134500.0,538900.0,150005.53,0.0,93,89,486176.13,5227.7,MASCULINO,SSE
PSB,19,19,92724.17,4880.22,33684.88,28039.29,0.0,0.0,31000.0,52,51,91689.17,1763.25,MASCULINO,SSE
PFL,20,20,109210.0,5460.5,0.0,13340.0,50320.0,45550.0,0.0,37,35,108622.95,2935.76,MASCULINO,NNE
PFL,10,8,38756.85,3875.68,0.0,5500.0,0.0,33256.85,0.0,31,31,38756.85,1250.22,MASCULINO,NNE
PSDB,20,20,266495.45,13324.77,0.0,111680.0,154815.45,0.0,0.0,33,32,261405.49,7921.38,MASCULINO,NNE
PMDB,51,46,121070.0,2373.92,0.0,87300.0,11200.0,22570.0,0.0,106,90,99111.56,935.01,MASCULINO,NNE
PC do B,280,273,352838.67,1260.14,133882.67,94857.0,89900.0,12280.0,21919.0,413,314,283757.15,687.06,FEMININO,SSE
PMDB,58,51,427246.69,7366.32,44990.0,49800.0,4800.0,327656.69,0.0,934,796,312168.31,334.23,MASCULINO,SSE
PSDB,17,16,297381.89,17493.05,13238.0,67500.0,211643.89,5000.0,0.0,69,60,297100.93,4305.81,MASCULINO,NNE
PMN,33,30,129343.0,3919.48,18643.0,23300.0,78000.0,9400.0,0.0,70,62,112343.0,1604.9,MASCULINO,NNE
PSDB,4,4,133000.37,33250.09,0.0,0.0,130000.0,0.37,3000.0,42,40,132998.67,3166.64,MASCULINO,NNE
PTB,26,20,79962.86,3075.49,13209.5,1200.0,0.0,65553.36,0.0,125,112,73235.71,585.89,MASCULINO,NNE
PSDB,11,11,243665.42,22151.4,14000.0,5000.0,200000.0,24665.42,0.0,29,28,241065.42,8312.6,MASCULINO,NNE
PTC,23,18,69269.6,3011.72,9597.6,3800.0,23872.0,32000.0,0.0,47,39,57379.72,1220.85,FEMININO,NNE
PPS,29,28,331042.42,11415.26,65660.0,27162.15,186320.27,51900.0,0.0,189,149,219184.52,1159.71,MASCULINO,SSE
PSDB,37,33,228722.0,6181.68,0.0,83130.0,49492.0,96100.0,0.0,85,82,224521.01,2641.42,MASCULINO,NNE
PSB,9,9,74490.0,8276.67,5990.0,10000.0,53000.0,5500.0,0.0,39,39,74489.95,1910.0,FEMININO,NNE
PPS,63,62,605370.9,9609.06,0.0,302510.9,218700.0,74000.0,10160.0,283,248,473610.96,1673.54,MASCULINO,SSE
PT,386,358,216345.0,560.48,10000.0,122845.0,28000.0,55500.0,0.0,212,158,207364.42,978.13,MASCULINO,NNE
PT,404,364,507809.53,1256.95,10000.0,255517.0,111530.0,130762.53,0.0,429,361,489971.92,1142.13,MASCULINO,NNE
PSDB,290,262,964789.16,3326.86,248420.0,55950.0,290266.74,370152.42,0.0,2159,1702,830957.86,384.88,MASCULINO,SSE
PSDB,29,26,483948.54,16687.88,11000.0,91000.0,379627.6,2320.94,0.0,393,360,451300.41,1148.35,MASCULINO,NNE
PSB,13,13,96708.43,7439.11,24150.0,0.0,6110.0,30448.43,36000.0,46,45,96676.43,2101.66,MASCULINO,NNE
PP,20,18,83425.08,4171.25,29685.08,24520.0,0.0,29220.0,0.0,70,64,79475.08,1135.36,MASCULINO,NNE
PSDB,41,41,370400.0,9034.15,0.0,85700.0,212700.0,72000.0,0.0,66,65,362355.2,5490.23,MASCULINO,NNE
PTB,27,25,114751.87,4250.07,0.0,47700.0,10000.0,42051.87,15000.0,72,60,101263.11,1406.43,MASCULINO,SSE
PP,27,26,547269.83,20269.25,46809.0,4380.0,494080.83,2000.0,0.0,216,171,420873.18,1948.49,MASCULINO,NNE
PSDB,21,19,262950.0,12521.43,25000.0,100.0,216600.0,21250.0,0.0,94,83,213120.49,2267.24,MASCULINO,NNE
PL,46,41,566503.31,12315.29,0.0,86150.0,215300.0,265053.31,0.0,624,451,486318.92,779.36,MASCULINO,NNE
PFL,7,6,100153.0,14307.57,56803.0,0.0,500.0,42850.0,0.0,35,33,99142.36,2832.64,MASCULINO,NNE
PFL,20,20,123500.0,6175.0,25000.0,21500.0,47000.0,30000.0,0.0,73,60,107000.0,1465.75,MASCULINO,NNE
PSDB,16,9,138650.0,8665.62,3200.0,0.0,10000.0,125450.0,0.0,108,90,122824.3,1137.26,MASCULINO,NNE
PDT,213,201,119107.34,559.19,19482.4,91279.94,8345.0,0.0,0.0,144,121,110919.35,770.27,MASCULINO,NNE
PSDB,14,10,214840.0,15345.71,2840.0,1000.0,0.0,211000.0,0.0,115,103,213708.96,1858.34,MASCULINO,NNE
PMDB,32,31,443790.23,13868.44,8078.75,1460.0,396451.48,37800.0,0.0,183,172,439520.54,2401.75,MASCULINO,SSE
PMDB,13,12,116078.75,8929.13,8078.75,0.0,78000.0,30000.0,0.0,110,108,116028.95,1054.81,MASCULINO,SSE
PSDB,34,31,131173.0,3858.03,6488.0,52785.0,0.0,71900.0,0.0,67,52,124656.0,1860.54,MASCULINO,NNE
